0,1,2,3,4,5,6,7,8,9,10,11,state
18,0210671WL,Sg. Selangor di Kg. Lubuk Jaya,Kuala Selangor,Sungai Selangor,Sg. Selangor,19/09/2025 14:15,0.78,1.50,1.75,2.00,2.50,Selangor
19,3312446,Sg. Selangor di Teluk Penyamun (Jeti),Kuala Selangor,Sungai Selangor,Sg. Selangor,19/09/2025 14:15,0.89,1.30,2.10,2.60,3.10,Selangor
20,3312447,P/A Sg. Yu 1,Kuala Selangor,Sungai Selangor,Sg. Yu,19/09/2025 14:15,-0.44,1.50,1.80,2.00,2.30,Selangor
21,3214401,Sg. Buloh di Sri Aman,Kuala Selangor,Sungai Buloh,Sg. Buloh,19/09/2025 14:15,4.10,5.00,6.50,7.00,7.50,Selangor
22,3313470,Sg. Buloh di Parit Mahang,Kuala Selangor,Sungai Buloh,Sg. Buloh,19/09/2025 14:15,2.37,1.00,3.50,4.00,4.50,Selangor
23,0200111WL,Sg. Sembilang di Kg. Bukit Kerayong,Kuala Selangor,Sungai Sembilang,Sg. Sembilang,19/09/2025 14:15,2.10,3.50,4.00,4.50,5.00,Selangor
24,3315401,Sg. Rawang di Taman Tun Teja,Gombak,Sungai Selangor,Sg. Rawang,19/09/2025 14:15,32.91,32.80,34.30,34.80,35.30,Selangor
25,3315443,Sg. Rawang di Rawang Tin,Gombak,Sungai Selangor,Sg. Rawang,19/09/2025 14:15,25.45,27.90,28.20,28.50,28.80,Selangor
26,3315480,Sg. Gong di Country Homes Rawang,Gombak,Sungai Selangor,Sg. Gong,19/09/2025 14:15,15.90,15.80,18.50,19.00,19.50,Selangor
27,3215480,Sg. Kuang di Kg. Melayu Seri Kundang,Gombak,Sungai Selangor,Sg. Kuang,19/09/2025 14:15,21.29,20.80,22.70,23.20,23.70,Selangor
28,3216467,Sg. Batu di Batu Caves,Gombak,Sungai Klang,Sg. Batu,19/09/2025 14:15,48.79,48.90,51.00,51.50,52.00,Selangor
29,3217401,Sg. Gombak di Batu 10,Gombak,Sungai Klang,Sg. Gombak,19/09/2025 14:15,75.34,76.40,76.70,77.00,77.30,Selangor
30,0232941WL,Sg. Kemensah di Kg. Kemensah,Gombak,Sungai Klang,Sg. Kemensah,19/09/2025 14:30,59.38,60.00,61.00,61.50,62.00,Selangor
31,3017445,Sg. Kuyoh di Seri Kembangan,Petaling,Sungai Klang,Sg. Kuyoh,19/09/2025 14:15,36.58,36.50,38.50,39.00,40.00,Selangor
32,0232971WL,Sg. Klang di Sri Manja,Petaling,Sungai Klang,Sg. Klang,19/09/2025 14:30,5.02,7.00,8.00,9.50,11.00,Selangor
33,3016402,Sg. Penchala di Kg. Gandhi,Petaling,Sungai Klang,Sg. Penchala,19/09/2025 14:15,10.02,10.30,13.00,14.00,15.00,Selangor
34,3015436,Sg. Klang di Puchong Drop,Petaling,Sungai Klang,Sg. Klang,19/09/2025 14:15,4.85,7.50,9.00,9.50,10.00,Selangor
35,3115404,Sg. Damansara di Kg. Melayu Subang,Petaling,Sungai Klang,Sg. Damansara,19/09/2025 14:15,14.60,14.60,16.40,16.90,17.40,Selangor
36,3015490,Sg. Damansara di TTDI Jaya,Petaling,Sungai Klang,Sg. Damansara,19/09/2025 14:15,3.51,3.50,7.30,7.80,8.30,Selangor
37,3015432,Sg. Klang di Taman Sri Muda,Klang,Sungai Klang,Sg. Klang,19/09/2025 14:15,-9999.00,2.80,4.40,4.70,5.00,Selangor
38,3015402,Sg. Rasau di Taman Desa Kemuning,Klang,Sungai Klang,Sg. Rasau,19/09/2025 14:15,1.37,1.50,2.60,2.80,3.00,Selangor
39,3015481,Sg. Kandis di Kg. Jawa,Klang,Sungai Klang,Sg. Kandis,19/09/2025 14:15,3.17,3.00,4.20,4.70,5.20,Selangor
40,3015482,Sg. Rasau di Tugu Keris,Klang,Sungai Klang,Sg. Rasau,19/09/2025 14:15,1.91,1.70,3.30,3.60,3.90,Selangor
41,3014401,Sg. Klang di Bandar Klang,Klang,Sungai Klang,Sg. Klang,19/09/2025 14:15,1.02,2.20,2.40,2.70,3.00,Selangor
42,3112401,Sg. Binjai di Pekan Meru,Klang,Sungai Klang,Sg.Klang,19/09/2025 14:15,3.02,2.80,3.80,4.00,4.20,Selangor
43,0220301WL,"Sg. Kapar Kechil di Kg. Perepat, Kapar",Klang,Sungai Kapar Kechil,Sg. Kapar Kechil,19/09/2025 14:15,0.35,0.00,0.60,1.00,1.50,Selangor
44,3014402,P/A Pandamaran,Klang,Sungai Klang,Sg. Aur,19/09/2025 14:30,-0.15,1.20,1.80,2.00,2.20,Selangor
45,3117482,Sg. Ampang di Kg. Lembah Jaya Utara,Hulu Langat,Sungai Klang,Sg. Ampang,19/09/2025 14:00,61.58,60.00,63.20,63.50,63.80,Selangor
46,3118445,Sg. Lui di Kg. Sg. Lui,Hulu Langat,Sungai Langat,Sg. Lui,19/09/2025 14:30,75.09,76.80,77.30,77.80,78.30,Selangor
47,3218401,Sg. Langat di TNB Pangsun,Hulu Langat,Sungai Langat,Sg. Langat,19/09/2025 14:15,132.13,131.90,132.90,133.40,133.90,Selangor
48,3118446,Sg. Langat di Batu 20,Hulu Langat,Sungai Langat,Sg. Langat,19/09/2025 14:00,88.62,86.80,89.80,90.10,90.40,Selangor
49,3018402,Sg. Langat di Batu 15,Hulu Langat,Sungai Langat,Sg. Langat,19/09/2025 14:15,53.52,52.10,55.30,55.60,55.90,Selangor
50,3017482,Sg. Langat di Batu 12,Hulu Langat,Sungai Langat,Sg. Langat,19/09/2025 14:30,41.60,39.40,41.40,42.10,42.40,Selangor
51,3017408,Sg. Balak di Kg. Baru Balakong,Hulu Langat,Sungai Langat,Sg. Balak,19/09/2025 14:00,35.39,37.00,37.30,37.60,37.90,Selangor
52,3115404,Sg. Jelok di Taman TTDI Grove,Hulu Langat,Sungai Langat,Sg. Jelok,19/09/2025 14:00,34.21,35.10,35.85,36.15,36.45,Selangor
53,3017409,Sg. Kantan,Hulu Langat,Sungai Langat,Sg. Kantan,19/09/2025 14:15,25.99,27.25,28.50,28.80,29.10,Selangor
54,2917401,Sg. Langat di Pekan Kajang,Hulu Langat,Sungai Langat,Sg. Langat,19/09/2025 14:00,22.28,22.90,24.40,25.40,26.40,Selangor
55,2917402,Sg. Langat di Taman West Country Kajang,Hulu Langat,Sungai Langat,Sg. Langat,19/09/2025 14:00,18.40,19.65,21.40,21.90,22.40,Selangor
56,3018401,Sg. Semenyih di Kg. Pasir,Hulu Langat,Sungai Langat,Sg. Semenyih,19/09/2025 14:15,48.11,48.30,48.80,49.80,50.30,Selangor
57,2918403,Sg. Semenyih di Jalan Seri Tanjung,Hulu Langat,Sungai Langat,Sg. Semenyih,19/09/2025 14:15,31.42,31.00,34.00,34.50,35.00,Selangor
58,2918401,Sg. Semenyih di Rinching,Hulu Langat,Sungai Langat,Sg. Semenyih,19/09/2025 14:30,-9999.00,22.00,24.00,24.50,25.60,Selangor
59,2817480,Sg. Semenyih di Pekan Bangi Lama,Hulu Langat,Sungai Langat,Sg. Semenyih,19/09/2025 14:15,13.53,13.70,15.70,16.20,16.70,Selangor
60,0241301WL,Sg. Beranang di Kg. Sesapan Batu Rembau,Hulu Langat,Sungai Langat,Sg. Beranang,19/09/2025 14:30,32.03,32.50,34.00,34.50,35.00,Selangor
